day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명,기온(°C),강수량(mm),습도(%),,,,
10.1수,롯데 자이언츠,7,1,0,14,0,0,패,대구,21.1,0,62,,,,
10.1수,삼성 라이온즈,7,1,2,7,0,0,승,대구,21.1,0,62,,,,
10.1수,두산 베어스,8,0,1,13,0,0,승,광주,22.4,0,61,,,,
10.1수,KIA 타이거즈,6,1,1,10,1,0,패,광주,22.4,0,61,,,,
10.1수,SK 와이번스,14,1,0,11,0,2,승,대전,21.4,0,73,,,,
10.1수,한화 이글스,6,0,0,10,1,0,패,대전,21.4,0,73,,,,
10.2목,한화 이글스,12,2,0,8,2,0,패,부산,21.6,0,72,,,,
10.2목,롯데 자이언츠,16,1,0,4,0,0,승,부산,21.6,0,72,,,,
10.2목,두산 베어스,8,0,0,4,1,1,패,광주,21.8,0,64,,,,
10.2목,KIA 타이거즈,9,1,0,8,1,0,승,광주,21.8,0,64,,,,
10.2목,SK 와이번스,5,0,0,8,1,1,패,창원,21,0,70,,,,
10.2목,NC 다이노스,12,2,4,5,0,1,승,창원,21,0,70,,,,
10.3금,한화 이글스,7,1,0,5,0,1,패,부산,21.4,0,58,,,,
10.3금,롯데 자이언츠,18,1,0,9,0,0,승,부산,21.4,0,58,,,,
10.3금,두산 베어스,3,0,3,10,0,1,패,광주,17.7,0,60,,,,
10.3금,KIA 타이거즈,8,0,2,5,1,2,승,광주,17.7,0,60,,,,
10.3금,키움 히어로즈,12,0,0,3,1,1,패,서울,18.5,0,60,,,,
10.3금,LG 트윈스,15,1,2,5,2,1,승,서울,18.5,0,60,,,,
10.4토,두산 베어스,10,0,1,8,0,0,패,창원,19.7,0,46,,,,
10.4토,NC 다이노스,5,1,2,9,0,1,승,창원,19.7,0,46,,,,
10.4토,삼성 라이온즈,17,0,4,4,1,1,승,광주,20.6,0,47,,,,
10.4토,KIA 타이거즈,12,0,0,7,0,1,패,광주,20.6,0,47,,,,
10.4토,키움 히어로즈,7,0,0,6,0,3,승,서울,19.7,0,49,,,,
10.4토,LG 트윈스,7,0,1,7,0,2,패,서울,19.7,0,49,,,,
10.5일,한화 이글스,8,1,1,4,3,0,패,인천,20,0,51,,,,
10.5일,SK 와이번스,9,2,2,5,1,2,승,인천,20,0,51,,,,
10.5일,두산 베어스,6,1,0,8,0,0,패,창원,19.2,0,51,,,,
10.5일,NC 다이노스,8,2,1,1,2,0,승,창원,19.2,0,51,,,,
10.5일,삼성 라이온즈,11,0,0,4,0,1,승,광주,20.9,0,45,,,,
10.5일,KIA 타이거즈,8,1,0,9,0,1,패,광주,20.9,0,45,,,,
10.5일,키움 히어로즈,9,0,0,9,2,2,패,서울,20.6,0,46,,,,
10.5일,LG 트윈스,8,0,0,4,2,0,승,서울,20.6,0,46,,,,
10.6월,한화 이글스,4,0,0,7,1,1,패,인천,18.5,0,70,,,,
10.6월,SK 와이번스,19,2,0,4,0,0,승,인천,18.5,0,70,,,,
10.6월,NC 다이노스,0,0,0,11,1,0,패,서울,19.9,0,45,,,,
10.6월,LG 트윈스,8,0,0,7,1,1,승,서울,19.9,0,45,,,,
10.6월,두산 베어스,9,0,1,7,1,0,승,대구,20.6,0,34,,,,
10.6월,삼성 라이온즈,6,0,3,6,0,4,패,대구,20.6,0,34,,,,
10.7화,KIA 타이거즈,12,1,0,8,0,2,패,서울,18.3,0,46,,,,
10.7화,키움 히어로즈,10,0,3,6,1,1,승,서울,18.3,0,46,,,,
10.7화,롯데 자이언츠,11,1,2,8,0,1,패,대전,18.9,0,56,,,,
10.7화,한화 이글스,11,2,1,6,1,1,승,대전,18.9,0,56,,,,
10.7화,NC 다이노스,3,0,0,4,0,0,패,인천,18,0,62,,,,
10.7화,SK 와이번스,5,0,2,6,2,0,승,인천,18,0,62,,,,
10.7화,삼성 라이온즈,8,1,2,7,0,3,패,서울,18.3,0,46,,,,
10.7화,LG 트윈스,14,0,0,3,3,0,승,서울,18.3,0,46,,,,
10.8수,KIA 타이거즈,9,0,0,11,1,2,패,서울,20.3,0,54,,,,
10.8수,두산 베어스,6,0,1,8,0,1,승,서울,20.3,0,54,,,,
10.8수,삼성 라이온즈,9,0,1,10,0,0,패,서울,20.3,0,54,,,,
10.8수,키움 히어로즈,8,0,3,12,0,0,승,서울,20.3,0,54,,,,
10.9목,KIA 타이거즈,15,0,0,9,1,2,패,서울,22.1,0,46,,,,
10.9목,LG 트윈스,15,0,2,7,0,0,승,서울,22.1,0,46,,,,
10.9목,NC 다이노스,14,5,1,11,0,0,승,대구,22,0,45,,,,
10.9목,삼성 라이온즈,9,2,0,3,1,0,패,대구,22,0,45,,,,
10.9목,두산 베어스,4,0,1,6,1,0,패,대전,20.4,0,64,,,,
