day_test,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
4.7,한화 이글스,11,0,2,6,2,2,패,부산,10.7,0,41
4.7,롯데 자이언츠,10,1,2,6,1,1,승,부산,10.7,0,41
4.7,KIA 타이거즈,6,0,2,8,0,3,패,인천,8.3,0,33
4.7,SK 와이번스,10,0,1,2,1,0,승,인천,8.3,0,33
4.7,LG 트윈스,9,1,1,3,2,0,승,대구,14.6,0,16
4.7,삼성 라이온즈,8,1,0,4,0,0,패,대구,14.6,0,16
4.7,키움 히어로즈,8,1,0,6,1,2,승,서울,10.2,0,23
4.7,두산 베어스,6,0,1,6,0,1,패,서울,10.2,0,23
4.8,한화 이글스,8,0,0,5,0,1,패,부산,10.7,0,41
4.8,롯데 자이언츠,15,0,2,5,0,2,승,부산,10.7,0,41
4.8,KIA 타이거즈,6,0,0,3,2,0,패,인천,10.6,0,68
4.8,SK 와이번스,8,0,0,5,1,0,승,인천,10.6,0,68
4.8,LG 트윈스,7,0,3,9,1,0,승,대구,22.4,0,14
4.8,삼성 라이온즈,9,0,3,6,1,0,패,대구,22.4,0,14
4.8,키움 히어로즈,18,0,3,3,1,1,패,서울,13.7,0,50
4.8,두산 베어스,22,0,1,4,1,1,승,서울,13.7,0,50
4.11,롯데 자이언츠,18,0,1,6,1,0,승,서울,15.9,0,52
4.11,LG 트윈스,7,0,0,8,0,2,패,서울,15.9,0,52
4.11,두산 베어스,11,1,0,3,1,0,승,대전,16.4,0,64
4.11,한화 이글스,7,0,0,9,1,0,패,대전,16.4,0,64
4.11,SK 와이번스,6,1,3,13,0,0,승,서울,15.9,0,52
4.11,키움 히어로즈,3,1,0,8,0,0,패,서울,15.9,0,52
4.11,삼성 라이온즈,1,0,1,11,0,1,패,광주,11.8,0,71
4.11,KIA 타이거즈,7,0,2,8,1,0,승,광주,11.8,0,71
4.12,롯데 자이언츠,6,0,1,4,0,1,패,서울,10.3,0,35
4.12,LG 트윈스,5,0,1,5,0,0,승,서울,10.3,0,35
4.12,두산 베어스,6,0,1,8,0,0,패,대전,13.9,0,29
4.12,한화 이글스,17,0,1,8,3,1,승,대전,13.9,0,29
4.12,SK 와이번스,6,0,0,6,0,0,패,서울,10.3,0,35
4.12,키움 히어로즈,6,1,1,1,1,1,승,서울,10.3,0,35
4.12,삼성 라이온즈,12,0,0,4,0,1,승,광주,14.5,0,32
4.12,KIA 타이거즈,5,1,0,8,1,1,패,광주,14.5,0,32
4.13,한화 이글스,2,0,0,10,0,1,패,인천,9.5,0,69
4.13,SK 와이번스,6,0,0,13,0,0,승,인천,9.5,0,69
4.13,KIA 타이거즈,11,0,0,3,0,0,승,서울,11.6,0,50
4.13,LG 트윈스,12,1,0,9,2,0,패,서울,11.6,0,50
4.13,두산 베어스,9,0,2,2,1,0,승,부산,11.1,0.2,71
4.13,롯데 자이언츠,4,1,0,6,1,0,패,부산,11.1,0.2,71
4.13,키움 히어로즈,3,0,1,9,0,0,패,서울,11.6,0,50
4.13,삼성 라이온즈,7,0,2,4,1,0,승,서울,11.6,0,50
4.14,한화 이글스,5,0,1,6,1,0,패,인천,11,0,77
4.14,SK 와이번스,4,1,2,8,0,1,승,인천,11,0,77
4.14,KIA 타이거즈,9,0,6,3,1,1,승,서울,14.9,0,46
4.14,LG 트윈스,11,0,3,7,0,2,패,서울,14.9,0,46
4.14,두산 베어스,8,0,2,5,0,0,무,부산,15.5,0,56
4.14,롯데 자이언츠,12,0,2,14,1,0,무,부산,15.5,0,56
4.14,키움 히어로즈,3,0,1,5,1,0,패,대구,22.5,0,18
4.14,삼성 라이온즈,7,0,1,2,0,1,승,대구,22.5,0,18
4.15,한화 이글스,9,1,1,8,2,0,패,인천,13.8,0,52
4.15,SK 와이번스,12,2,1,7,0,1,승,인천,13.8,0,52
4.15,KIA 타이거즈,8,1,0,4,3,0,패,서울,18,0,35
4.15,LG 트윈스,10,1,2,4,1,1,승,서울,18,0,35
4.15,두산 베어스,8,0,0,3,2,1,패,부산,16.6,0,58
4.15,롯데 자이언츠,16,0,0,8,1,0,승,부산,16.6,0,58
4.15,키움 히어로즈,10,3,2,10,1,1,승,대구,24.8,0,16
4.15,삼성 라이온즈,14,1,2,4,1,0,패,대구,24.8,0,16
4.17,KIA 타이거즈,5,0,1,6,0,0,승,서울,18.3,0,25
4.17,키움 히어로즈,3,1,0,14,0,0,패,서울,18.3,0,25
4.17,LG 트윈스,11,3,4,7,1,1,패,대전,20.4,0,18
4.17,한화 이글스,11,1,2,6,2,1,승,대전,20.4,0,18
4.17,SK 와이번스,8,0,1,10,0,0,패,부산,14.5,0,53
4.17,롯데 자이언츠,8,1,0,4,1,2,승,부산,14.5,0,53
4.17,삼성 라이온즈,5,0,1,5,0,0,패,서울,18.3,0,25
4.17,두산 베어스,11,1,0,8,0,0,승,서울,18.3,0,25
4.18,KIA 타이거즈,3,0,0,6,2,1,패,서울,19.6,0,23
4.18,키움 히어로즈,11,0,1,7,0,1,승,서울,19.6,0,23
4.18,LG 트윈스,12,1,2,7,1,0,승,대전,22.3,0,23
4.18,한화 이글스,6,0,1,5,0,2,패,대전,22.3,0,23
4.18,SK 와이번스,15,2,1,7,0,1,승,부산,15.2,0,35
4.18,롯데 자이언츠,11,0,0,8,1,1,패,부산,15.2,0,35
4.18,삼성 라이온즈,6,0,1,9,0,0,패,서울,19.6,0,23
4.18,두산 베어스,14,1,0,1,1,1,승,서울,19.6,0,23
4.19,KIA 타이거즈,8,1,2,10,0,0,승,서울,19.2,0,28
4.19,키움 히어로즈,3,0,1,7,2,0,패,서울,19.2,0,28
4.19,LG 트윈스,8,1,0,11,0,0,승,대전,17.6,0,34
4.19,한화 이글스,8,1,0,3,1,0,패,대전,17.6,0,34
4.19,SK 와이번스,11,2,0,12,3,0,패,부산,14.8,0,70
4.19,롯데 자이언츠,6,1,1,5,0,0,승,부산,14.8,0,70
4.19,삼성 라이온즈,3,2,1,9,1,0,패,서울,19.2,0,28
4.19,두산 베어스,9,0,1,2,0,0,승,서울,19.2,0,28
4.2,롯데 자이언츠,16,2,3,10,1,1,승,광주,18.5,0,59
4.2,KIA 타이거즈,11,0,0,6,2,1,패,광주,18.5,0,59
4.2,두산 베어스,9,0,1,7,1,0,패,서울,22.3,0,32
